"","Alias","HI_Indiv","Mom","Sex","BirthYear","Demons_HI_forage"
"440","F233",1,"F159","Female","2010","no"
"441","F234",1,NA,"Male","1999","no"
"442","F235",1,"F137","Female","2010","no"
"443","F236",1,NA,"Male","1994","no"
"444","F237",0,NA,"Female","1982","no"
"445","F238",1,"F119","Male","2002","no"
"446","F239",0,"F237","Female","2010","no"
"447","F240",1,"F157","Male","2004","no"
"448","F241",1,"FB65","Female","2007","no"
"449","F242",1,NA,"Male","1990","no"
"450","F243",1,"F197","Female","2012","no"
"451","F244",0,"F113","Male","2004","no"
"452","F245",1,"F133","Female","2012","no"
"453","F246",1,"FB90","Male","2004","no"
"454","F247",1,"F175","Female","2012","no"
"455","F248",1,"SBDO","Male","1998","no"
"456","F249",0,"F185","Female","2011","no"
"457","F250",1,"FB11","Male","2005","no"
"458","F252",1,"FB93","Male","2006","no"
"459","F254",1,NA,"Male","1989","no"
"460","F256",1,"F125","Male","2007","no"
"461","F258",1,NA,"Male","1993","no"
"462","F260",0,"F231","Male","2008","no"
"463","F262",1,"FB25","Male","2006","no"
"464","F264",1,"F127","Male","2008","no"
"465","F266",1,"FB79","Male","2007","no"
"466","F268",0,NA,"Male","1993","no"
"467","F270",1,"FB90","Male","2009","no"
"468","F272",1,"F155","Male","2009","no"
"469","F274",1,"F113","Male","2010","no"
"470","F276",1,"FB35","Male","1992","no"
"471","F278",0,"FB07","Male","2010","no"
"472","F280",0,"F187","Male","2010","no"
"473","F282",0,"FB33","Male","2008","no"
"474","F284",1,"FB27","Male","2011","no"
"475","F301",1,NA,"Female",NA,"no"
"476","FANT",0,NA,"Male",NA,"no"
"477","FAST",0,NA,NA,NA,"no"
"478","FB01",0,"FB43","Female","1991","no"
"479","FB02",1,"FB59","Male","1991","no"
"480","FB03",1,"FB19","Female","1989","no"
"481","FB05",1,NA,"Female","1963","no"
"482","FB06",1,"FB71","Male","1984","no"
"483","FB07",1,"FB84","Female","1984","no"
"484","FB08",0,"FB45","Male","1983","no"
"485","FB09",1,"FB63","Female","1984","no"
"486","FB10",0,"FB63","Male","1981","no"
"487","FB11",1,"FB19","Female","1984","no"
"488","FB12",0,NA,"Male","1959","no"
"489","FB13",0,NA,"Female","1959","no"
"490","FB14",0,NA,"Male","1973","no"
"491","FB15",1,NA,"Female","1950","no"
"492","FB17",1,NA,"Female","1961","no"
"493","FB19",0,NA,"Female","1944","no"
"494","FB20",1,"F111","Male","1989","no"
"495","FB23",0,"FB15","Female","1989","no"
"496","FB24",0,"FB35","Male","1989","no"
"497","FB25",0,NA,"Female","1978","no"
"498","FB26",0,NA,"Male","1957","no"
"499","FB27",1,NA,"Female","1978","no"
"500","FB28",1,NA,"Male","1965","no"
"501","FB29",1,NA,"Female","1963","no"
"502","FB32",0,"FB05","Male","1980","no"
"503","FB33",1,"FB51","Female","1982","no"
"504","FB34",0,"FB73","Male","1975","no"
"505","FB35",1,NA,"Female","1956","no"
"506","FB36",0,NA,"Male","1972","no"
"507","FB38",1,NA,"Male","1974","no"
"508","FB39",0,NA,"Female","1980","no"
"509","FB41",1,NA,"Female","1959","no"
"510","FB43",1,NA,"Female","1966","no"
"511","FB44",1,NA,"Male","1973","no"
"512","FB46",0,NA,"Male","1978","no"
"513","FB48",0,NA,"Male","1959","no"
"514","FB51",1,NA,"Female","1941","no"
"515","FB53",1,"FB57","Female","1986","no"
"516","FB54",1,NA,"Female","1971","no"
"517","FB55",1,"FB05","Female","1986","no"
"518","FB57",1,NA,"Female","1952","no"
"519","FB58",0,NA,"Male","1964","no"
"520","FB59",0,"FB19","Female","1974","no"
"521","FB60",0,NA,"Male","1960","no"
"522","FB62",0,"FB63","Male","1973","no"
"523","FB63",1,NA,"Female","1954","no"
"524","FB65",1,"FB67","Female","1983","no"
"525","FB66",1,NA,"Male","1976","no"
"526","FB68",1,NA,"Male","1976","no"
"527","FB70",0,NA,"Male",NA,"no"
"528","FB71",1,NA,"Female","1961","no"
"529","FB73",0,NA,"Female",NA,"no"
"530","FB75",1,NA,"Female","1974","no"
"531","FB76",0,NA,"Male","1977","no"
"532","FB78",1,NA,"Male","1972","no"
"533","FB79",1,NA,"Female","1979","no"
"534","FB83",0,NA,"Female","1950","no"
"535","FB84",1,NA,"Female","1958","no"
