id_individual,HI,Demons_HI_forage,HI_Order_acquisition,Mom_known
GRU,no,NA,NA,yes
GUA,no,NA,NA,yes
GUD,no,NA,NA,no
GUI,yes,yes,16,no
GUS,no,NA,NA,yes
GVY,no,NA,NA,no
GWE,no,NA,NA,yes
HAL,no,NA,NA,no
HAM,no,NA,NA,no
HAN,no,NA,NA,no
HAR,no,NA,NA,yes
HAS,no,NA,NA,no
HAT,no,NA,NA,no
HAV,yes,no,69,yes
HAW,no,NA,NA,yes
HAY,no,NA,NA,no
HAZ,no,NA,NA,yes
HEA,no,NA,NA,yes
HEE,no,NA,NA,yes
HEI,no,NA,NA,no
HEL,no,NA,NA,yes
HEN,no,NA,NA,no
HER,no,NA,NA,no
HFF,no,NA,NA,yes
HIE,no,NA,NA,no
HIL,no,NA,NA,no
HIO,no,NA,NA,no
HIP,yes,no,46,yes
HIR,no,NA,NA,no
