"","Mom","Alias","BirthYear","Depart"
"846",NA,"OTH_605",1985,1991
"847",NA,"OTH_606",1985,1991
"848",NA,"OTH_607",1985,1991
"849",NA,"OTH_609",1985,1991
"850",NA,"OTH_610",1985,1991
"851",NA,"OTH_612",1985,1991
"852",NA,"OTH_702",1985,1991
"853",NA,"OTH_707",1985,1991
"854",NA,"OTH_894",1985,1991
"855",NA,"OTH_906",1985,1991
"856",NA,"OTH_984",1985,1991
"857","PSC3","P3C1",1985,1991
"858","PSC3","P3C2",1985,1991
"859",NA,"P3SP",1985,1991
"860","F231","PAL1",1985,1991
"861",NA,"PDFT",1985,1991
