"","trial","id","t_weight"
"361",1,"F199",1.5
"362",1,"F200",0
"363",1,"F201",0
"364",1,"F202",0
"365",1,"F203",1
"366",1,"F205",0
"367",1,"F207",2
"368",1,"F209",2
"369",1,"F210",0
"370",1,"F211",0
"371",1,"F212",0
"372",1,"F213",0
"373",1,"F214",0
"374",1,"F215",0
"375",1,"F216",0
"376",1,"F217",0
"377",1,"F218",1
"378",1,"F219",1
"379",1,"F220",1
"380",1,"F221",1
"381",1,"F222",1.5
"382",1,"F223",0
"383",1,"F224",0
"384",1,"F225",0
"385",1,"F226",0
"386",1,"F227",1
"387",1,"F228",2.5
"388",1,"F229",0
"389",1,"F230",0
"390",1,"F231",0
"391",1,"F232",2.5
"392",1,"F233",0
"393",1,"F234",1
"394",1,"F235",1
"395",1,"F236",0
"396",1,"F237",0
"397",1,"F238",1
"398",1,"F239",0
"399",1,"F240",1
"400",1,"F241",4
"401",1,"F242",2
"402",1,"F243",0
"403",1,"F244",0
"404",1,"F245",0
"405",1,"F246",0
"406",1,"F247",0
"407",1,"F248",1
"408",1,"F249",0
"409",1,"F250",1
"410",1,"F252",1.5
"411",1,"F254",1
"412",1,"F256",0
"413",1,"F258",0
"414",1,"F260",0
"415",1,"F262",4
"416",1,"F264",0
"417",1,"F266",2.4
"418",1,"F268",0
"419",1,"F270",0
"420",1,"F272",1
"421",1,"F274",0
"422",1,"F276",1.25
"423",1,"F278",0
"424",1,"F280",0
"425",1,"F282",0
"426",1,"F284",0
"427",1,"F301",0
"428",1,"FAST",0
"429",1,"FB01",0
"430",1,"FB02",0
"431",1,"FB03",0
"432",1,"FB05",2
"433",1,"FB06",1
"434",1,"FB07",0
"435",1,"FB09",0
"436",1,"FB10",0
"437",1,"FB11",1
"438",1,"FB13",0
"439",1,"FB14",0
"440",1,"FB15",2
"441",1,"FB17",1
"442",1,"FB20",1
"443",1,"FB24",0
"444",1,"FB25",0
"445",1,"FB26",0
"446",1,"FB27",1
"447",1,"FB28",2
"448",1,"FB29",0
"449",1,"FB32",0
"450",1,"FB33",0
"451",1,"FB35",1
"452",1,"FB36",0
"453",1,"FB38",0
"454",1,"FB39",0
"455",1,"FB43",1
"456",1,"FB44",1
"457",1,"FB46",0
"458",1,"FB48",0
"459",1,"FB54",0
"460",1,"FB55",0
"461",1,"FB58",0
"462",1,"FB59",0
"463",1,"FB60",0
"464",1,"FB62",0
"465",1,"FB63",1
"466",1,"FB65",1.66666666666667
"467",1,"FB66",2.5
"468",1,"FB68",0
"469",1,"FB73",0
"470",1,"FB75",0
"471",1,"FB76",0
"472",1,"FB78",2.875
"473",1,"FB79",1.66666666666667
"474",1,"FB83",0
"475",1,"FB84",0
"476",1,"FB87",1
"477",1,"FB89",0
"478",1,"FB90",0
"479",1,"FB92",1.25
"480",1,"FB93",1.2
"481",1,"FB94",0
"482",1,"FB96",1
"483",1,"FB99",0
"484",1,"FEAT",0
"485",1,"FINS",0
"486",1,"FJSL",0
"487",1,"FLBB",0
"488",1,"FLCR",0
"489",1,"FLDG",0
"490",1,"FLEA",0
"491",1,"FNIS",0
"492",1,"FRGG",0
"493",1,"FRGI",0
"494",1,"FRN2",0
"495",1,"FRN3",0
